kind_code,target,delta,realization,W3_reconstructed,min_patch_overlap,c0,c1,c2,c3,c4,c5
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.000000000000000000e+01,9.973333571663338670e-01,3.263724842913662272e-01,1.021748434158964214e+00,-8.127376251276225982e-01,4.948278463077923628e-01,-1.771840393042611206e+00,-2.087466901087227988e+00,1.665051960665892283e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.100000000000000000e+01,9.970893740218524925e-01,3.265081644046735065e-01,7.555936604715529636e-01,1.285318619853832001e+00,-2.081518985173605729e-01,-1.729751105341070143e-03,2.582886397758205610e-01,-2.557421938111534843e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.200000000000000000e+01,9.970949399165338622e-01,3.278119868704559847e-01,-4.370306137264613477e-01,1.401341228676876050e+00,1.030522123601795403e+00,3.114478385253077186e-01,3.972496421061295635e-01,-3.556294084834170643e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.300000000000000000e+01,9.972996433625211932e-01,3.308106815309335702e-01,-1.384395657968045867e+00,6.631797565777052261e-01,-1.676121874118973842e+00,4.638241785695020880e-01,-1.045224716311614843e+00,3.907557158767353545e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.400000000000000000e+01,9.970647539234850365e-01,3.273825435225530267e-01,-2.536022411167509483e-01,-8.058845469785605453e-02,9.730554859009544755e-01,6.467829854754311159e-01,6.179790003797227538e-01,-1.351504675837049030e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.500000000000000000e+01,9.970945097640473431e-01,3.285114179982390747e-01,-3.157591335109063424e-01,7.877091860364733300e-01,6.678646755173156535e-02,-1.636341388889581916e+00,6.632282546223038366e-01,-2.998017698796276997e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.600000000000000000e+01,9.971058070194944722e-01,3.251835925689710027e-01,1.492775694787445762e+00,8.719108539573728889e-01,1.417161925724010230e+00,3.993995675802166634e-01,1.535102797853301060e-01,8.807242132008392677e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.700000000000000000e+01,9.974180483357029114e-01,3.271500209274020854e-01,3.840206808996331489e-01,-1.594286422823741889e+00,2.499839830926228190e-01,-7.763896412146399362e-01,-2.019152099114700061e+00,6.139485811358085243e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.800000000000000000e+01,9.972631968527709834e-01,3.280920914277750122e-01,-4.631518612546440816e-01,6.000702928064409747e-01,7.834585723170063298e-01,-1.432678188317816570e+00,-4.957719020849829517e-01,-5.387504155504478920e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,2.900000000000000000e+01,9.973279947174593651e-01,3.302388120045086639e-01,4.671591554706018556e-02,3.067089782035834489e-01,-1.976228133632759398e+00,2.219192493969969135e-03,-8.540123982279667070e-01,-1.533311907516378358e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,9.969872743388881187e-01,3.235497941665075872e-01,-2.074275109225774960e-01,-9.344895171555813729e-01,1.759852983961762041e+00,-9.522839441265047444e-01,5.934041853827282109e-01,-6.592985878088342133e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,1.000000000000000000e+00,9.968511869662829428e-01,3.292863014773824148e-01,-4.465210063642504057e-01,-2.920413468094122389e-01,4.080444899090418520e-01,-6.687357426587768883e-01,8.624015597748183604e-01,2.530789890303516421e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,2.000000000000000000e+00,9.965829016311597011e-01,3.313225260190785781e-01,-4.653372694017794964e-01,-2.131655565102138702e-02,-7.838951674003588055e-01,-1.012483029796357403e+00,2.250516746096708598e+00,-1.630471283954678940e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,3.000000000000000000e+00,9.970632551998915849e-01,3.291587172619451218e-01,7.030552181078385254e-02,-1.006170339022261773e-01,-2.426070966348637670e-01,-1.498972061215750329e-01,7.712855995960758715e-02,3.687502349126697831e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,4.000000000000000000e+00,9.971350253397666119e-01,3.234688523429924967e-01,1.889963047285561748e+00,6.016074134670682527e-01,-5.169078714360435534e-01,-2.239545206291089219e+00,-2.129511139923152829e-01,-8.678995440183262522e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.000000000000000000e+00,9.968869056798542738e-01,3.257350585522388875e-01,1.842926944922454180e-01,-1.280893169818078769e+00,4.545878007573620483e-01,5.217647478215586831e-01,8.772278792419141435e-01,2.124038590083321854e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,6.000000000000000000e+00,9.973308811390270145e-01,3.250537395923275286e-01,1.312963631999239045e+00,-7.428449412329961588e-01,-1.172964571154075042e+00,-6.383733361872228063e-01,-8.588607607293432533e-01,2.687422303654340427e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,7.000000000000000000e+00,9.970125271358442065e-01,3.282990001785501821e-01,-6.264482497057002330e-01,1.837363051124190627e-01,1.044881001733469095e+00,5.492752110738219340e-02,5.022988934111437542e-01,7.957594018498204136e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,8.000000000000000000e+00,9.972137981794187978e-01,3.215145760667231234e-01,1.417997108918847449e+00,5.088630461011977024e-01,1.254463711584781205e+00,7.054093034778254889e-01,-9.228850292322730020e-01,-1.231225314351374056e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,9.000000000000000000e+00,9.972161921867491730e-01,3.237192410605989057e-01,1.420188251167197047e+00,-3.109098951270191091e-01,-7.563829549031402255e-01,-7.515609459208808518e-01,-4.567429279065656766e-01,-7.132984187944961807e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,1.000000000000000000e+01,9.976893495846687054e-01,3.263412285925363920e-01,4.765313013058299352e-01,-1.783821665075606022e+00,1.087593771538443443e-01,1.240956991819124555e+00,-2.225158420071397636e+00,-4.804715542172571796e-03
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,1.100000000000000000e+01,9.970281146395415517e-01,3.233327489113171360e-01,-2.982301500179243559e-01,1.248806116798661048e+00,2.330133934728692235e+00,-5.178293719000015560e-01,1.933116863743315761e-01,8.631285665687352116e-02
