ky,energy,edge_weight,ZA_expect,ZB_expect
-2.967059728390360362e+00,1.181295967595142604e-01,9.999999999888986579e-01,-9.999999999999995559e-01,-9.999999999999995559e-01
-2.967059728390360362e+00,1.181295967595142882e-01,9.999999999888999902e-01,1.000000000000000666e+00,1.000000000000000666e+00
-2.967059728390360362e+00,1.757757055441268035e-01,9.999999999877793311e-01,9.999999999999995559e-01,-9.999999999999995559e-01
-2.967059728390360362e+00,2.557569512641555409e-01,9.999999999851796328e-01,-9.999999999999994449e-01,9.999999999999994449e-01
-2.932153143350473723e+00,-2.634138213570908493e-01,9.999999998728449357e-01,-1.000000000000001110e+00,1.000000000000001110e+00
-2.932153143350473723e+00,-2.634138213570906828e-01,9.999999998728430484e-01,9.999999999999991118e-01,-9.999999999999991118e-01
-2.932153143350473723e+00,-2.157747805293529497e-01,9.999999998874203877e-01,-9.999999999999994449e-01,-9.999999999999994449e-01
-2.932153143350473723e+00,-7.583940831585155029e-02,9.999999999150239738e-01,1.000000000000000444e+00,1.000000000000000444e+00
-2.932153143350473723e+00,1.524080206440016350e-01,9.999999999038775567e-01,9.999999999999993339e-01,9.999999999999993339e-01
-2.932153143350473723e+00,1.524080206440016627e-01,9.999999999038782228e-01,-9.999999999999997780e-01,-9.999999999999997780e-01
-2.932153143350473723e+00,2.100436057035897364e-01,9.999999998918999156e-01,1.000000000000000222e+00,-1.000000000000000222e+00
-2.932153143350473723e+00,2.900046815973169045e-01,9.999999998643682719e-01,-9.999999999999995559e-01,9.999999999999995559e-01
-2.897246558310587083e+00,-2.973979125386153055e-01,9.999999991787861253e-01,9.999999999999991118e-01,-9.999999999999991118e-01
-2.897246558310587083e+00,-2.973979125386152500e-01,9.999999991787873466e-01,-1.000000000000000444e+00,1.000000000000000444e+00
-2.897246558310587083e+00,-2.497734995614631637e-01,9.999999992860069131e-01,-1.000000000000000444e+00,-1.000000000000000444e+00
-2.897246558310587083e+00,-1.098922784455972218e-01,9.999999994898627342e-01,9.999999999999991118e-01,9.999999999999991118e-01
-2.897246558310587083e+00,1.864425673411101991e-01,9.999999994069959097e-01,9.999999999999995559e-01,9.999999999999995559e-01
-2.897246558310587083e+00,1.864425673411103379e-01,9.999999994069964648e-01,-1.000000000000000000e+00,-1.000000000000000000e+00
-2.897246558310587083e+00,2.440609947753094866e-01,9.999999993188488645e-01,9.999999999999998890e-01,-9.999999999999998890e-01
-2.897246558310587083e+00,3.239888468959218892e-01,9.999999991158784463e-01,-1.000000000000000444e+00,1.000000000000000444e+00
-2.862339973270700444e+00,-3.310732691706618769e-01,9.999999958644427700e-01,-1.000000000000001332e+00,1.000000000000001332e+00
-2.862339973270700444e+00,-3.310732691706613773e-01,9.999999958644405496e-01,9.999999999999991118e-01,-9.999999999999991118e-01
-2.862339973270700444e+00,-2.834713830338175256e-01,9.999999964688445209e-01,-1.000000000000000666e+00,-1.000000000000000666e+00
-2.862339973270700444e+00,-1.436723403394833676e-01,9.999999976097859733e-01,1.000000000000000444e+00,1.000000000000000444e+00
-2.862339973270700444e+00,2.201950230941904230e-01,9.999999971461865922e-01,-9.999999999999997780e-01,-9.999999999999997780e-01
-2.862339973270700444e+00,2.201950230941906450e-01,9.999999971461863701e-01,9.999999999999997780e-01,9.999999999999997780e-01
-2.862339973270700444e+00,2.777874047021047232e-01,9.999999966527671758e-01,9.999999999999997780e-01,-9.999999999999997780e-01
-2.862339973270700444e+00,3.576643117674682681e-01,9.999999955059073464e-01,-1.000000000000000222e+00,1.000000000000000222e+00
-2.827433388230813804e+00,-3.643945534586635060e-01,9.999999827836156818e-01,-9.999999999999984457e-01,9.999999999999984457e-01
-2.827433388230813804e+00,-3.643945534586623958e-01,9.999999827836172361e-01,1.000000000000000000e+00,-1.000000000000000000e+00
-2.827433388230813804e+00,-3.168255425815235116e-01,9.999999855621564127e-01,-1.000000000000000444e+00,-1.000000000000000444e+00
-2.827433388230813804e+00,-1.771446778196645866e-01,9.999999907328054327e-01,1.000000000000001110e+00,1.000000000000001110e+00
-2.827433388230813804e+00,2.536279412433690150e-01,9.999999886414885353e-01,-1.000000000000000444e+00,-1.000000000000000444e+00
-2.827433388230813804e+00,2.536279412433692371e-01,9.999999886414880912e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.827433388230813804e+00,3.111828507864424220e-01,9.999999863998477734e-01,9.999999999999998890e-01,-9.999999999999998890e-01
-2.827433388230813804e+00,3.909857406616044639e-01,9.999999811148518880e-01,-9.999999999999998890e-01,9.999999999999998890e-01
-2.792526803190927165e+00,-3.973162955065038249e-01,9.999999383411102283e-01,9.999999999999984457e-01,-9.999999999999984457e-01
-2.792526803190927165e+00,-3.973162955065036583e-01,9.999999383411115605e-01,-9.999999999999997780e-01,9.999999999999997780e-01
-2.792526803190927165e+00,-3.497932927879494058e-01,9.999999492104874044e-01,-1.000000000000000222e+00,-1.000000000000000222e+00
-2.792526803190927165e+00,-2.102753841023151382e-01,9.999999690567904498e-01,1.000000000000000888e+00,1.000000000000000888e+00
-2.792526803190927165e+00,2.867046639314052570e-01,9.999999610876217915e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.792526803190927165e+00,2.867046639314055900e-01,9.999999610876221245e-01,-1.000000000000000444e+00,-1.000000000000000444e+00
-2.792526803190927165e+00,3.442078701849115574e-01,9.999999524495185588e-01,9.999999999999997780e-01,-9.999999999999997780e-01
-2.792526803190927165e+00,4.239076575102179167e-01,9.999999317240875207e-01,-9.999999999999998890e-01,9.999999999999998890e-01
-2.757620218151040525e+00,-4.297929606010842951e-01,9.999998045473409425e-01,-1.000000000000000666e+00,1.000000000000000666e+00
-2.757620218151040525e+00,-4.297929606010839620e-01,9.999998045473408315e-01,1.000000000000000444e+00,-1.000000000000000444e+00
-2.757620218151040525e+00,-3.823322187822133511e-01,9.999998418446113257e-01,-9.999999999999995559e-01,-9.999999999999995559e-01
-2.757620218151040525e+00,-2.430315572185335338e-01,9.999999084494827217e-01,1.000000000000001998e+00,1.000000000000001998e+00
-2.757620218151040525e+00,3.193893420901954272e-01,9.999998819414972484e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.757620218151040525e+00,3.193893420901954272e-01,9.999998819414973594e-01,-1.000000000000000222e+00,-1.000000000000000222e+00
-2.757620218151040525e+00,3.768235574737358595e-01,9.999998528066043058e-01,9.999999999999997780e-01,-9.999999999999997780e-01
-2.757620218151040525e+00,4.563845060654511121e-01,9.999997815080824415e-01,-9.999999999999997780e-01,9.999999999999997780e-01
-2.722713633111153886e+00,-4.617790197843809619e-01,9.999994399968479275e-01,9.999999999999990008e-01,-9.999999999999990008e-01
-2.722713633111153886e+00,-4.617790197843806288e-01,9.999994399968485936e-01,-9.999999999999995559e-01,9.999999999999995559e-01
-2.722713633111153886e+00,-4.144002476431052351e-01,9.999995548073095097e-01,-9.999999999999998890e-01,-9.999999999999998890e-01
-2.722713633111153886e+00,-2.753812955424053133e-01,9.999997548841534911e-01,9.999999999999988898e-01,9.999999999999988898e-01
-2.722713633111153886e+00,3.516469537615734553e-01,9.999996760425492459e-01,9.999999999999996669e-01,9.999999999999996669e-01
-2.722713633111153886e+00,3.516469537615736773e-01,9.999996760425493569e-01,-9.999999999999996669e-01,-9.999999999999996669e-01
-2.722713633111153886e+00,4.089915968371851118e-01,9.999995880165869488e-01,1.000000000000000222e+00,-1.000000000000000222e+00
-2.722713633111153886e+00,4.883707099329585022e-01,9.999993679614597175e-01,-1.000000000000000222e+00,1.000000000000000222e+00
-2.687807048071267246e+00,-4.932290240018592509e-01,9.999985264787158989e-01,1.000000000000000222e+00,-1.000000000000000222e+00
-2.687807048071267246e+00,-4.932290240018591398e-01,9.999985264787158989e-01,-1.000000000000000444e+00,1.000000000000000444e+00
-2.687807048071267246e+00,-4.459557242256196319e-01,9.999988489769775502e-01,-9.999999999999997780e-01,-9.999999999999997780e-01
-2.687807048071267246e+00,-3.072936937916724287e-01,9.999993965572733234e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.687807048071267246e+00,3.834433207230173446e-01,9.999991830383664349e-01,-1.000000000000000444e+00,-1.000000000000000444e+00
-2.687807048071267246e+00,3.834433207230174001e-01,9.999991830383658797e-01,9.999999999999997780e-01,9.999999999999997780e-01
-2.687807048071267246e+00,4.406742903599064620e-01,9.999989405749605265e-01,1.000000000000000222e+00,-1.000000000000000222e+00
-2.687807048071267246e+00,5.198207310196125697e-01,9.999983207392896256e-01,-9.999999999999995559e-01,9.999999999999995559e-01
