kind_code,target,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,one_time_pole_calibrations,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.500000000000000000e+01,9.583340180861273927e-01,5.015002276020619210e-01,2.569260057570589562e-02,3.418595625298739282e-01,8.831320395068831264e-01,1.000000000000000000e+00,1.500227602061920962e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.600000000000000000e+01,9.583340180861273927e-01,3.129727650850326337e-01,6.054341981708648984e-02,3.383603044243125302e-01,8.855123043898864843e-01,0.000000000000000000e+00,1.870272349149673663e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.700000000000000000e+01,9.583340180861273927e-01,5.072960820271683602e-01,6.487530954352453694e-02,3.331450010981518717e-01,8.890144082433124595e-01,1.000000000000000000e+00,7.296082027168360185e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.800000000000000000e+01,9.583340180861273927e-01,5.126092920109569517e-01,1.521331088919245476e-02,3.362203014684954083e-01,8.869559088804339630e-01,1.000000000000000000e+00,1.260929201095695174e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.900000000000000000e+01,9.583340180861273927e-01,4.819194747319578420e-01,3.914312816959619051e-02,3.367640202667482874e-01,8.865899946537771914e-01,0.000000000000000000e+00,1.808052526804215798e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.000000000000000000e+01,9.583340180861273927e-01,5.655410545833250424e-01,6.363077609777866017e-02,3.296323403650269768e-01,8.913425201854749957e-01,1.000000000000000000e+00,6.554105458332504242e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.100000000000000000e+01,9.583340180861273927e-01,5.244622081243019984e-01,2.660496376302264390e-02,3.301580893730921007e-01,8.909956360215093296e-01,1.000000000000000000e+00,2.446220812430199842e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.200000000000000000e+01,9.583340180861273927e-01,4.330328828884317804e-01,6.096756073408605980e-02,3.373013862374885652e-01,8.862277748422685564e-01,0.000000000000000000e+00,6.696711711156821956e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.300000000000000000e+01,9.583340180861273927e-01,5.374997411727018282e-01,5.000786448457230499e-02,3.331015024625751941e-01,8.890433890571749487e-01,1.000000000000000000e+00,3.749974117270182816e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.400000000000000000e+01,9.583340180861273927e-01,4.025137775029511977e-01,1.174652535740775168e-02,3.413054422444632974e-01,8.835105950943112907e-01,0.000000000000000000e+00,9.748622249704880227e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.500000000000000000e+01,9.583340180861273927e-01,4.742917742080087762e-01,3.054502967745175920e-02,3.375755709943915051e-01,8.860427338678106279e-01,0.000000000000000000e+00,2.570822579199122382e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.600000000000000000e+01,9.583340180861273927e-01,4.032463843025670402e-01,2.683233486108343308e-02,3.375379240264760328e-01,8.860681498438968129e-01,0.000000000000000000e+00,9.675361569743295975e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.700000000000000000e+01,9.583340180861273927e-01,4.444565733563193843e-01,2.056500054368158581e-02,3.350013986914847641e-01,8.877740628747488039e-01,0.000000000000000000e+00,5.554342664368061566e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.800000000000000000e+01,9.583340180861273927e-01,4.609888115404502940e-01,6.819767780636486199e-02,3.397772357683676026e-01,8.845514300536070351e-01,0.000000000000000000e+00,3.901118845954970604e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,5.900000000000000000e+01,9.583340180861273927e-01,4.294141885151913640e-01,2.604684479268092046e-02,3.362328549455729787e-01,8.869474672551492800e-01,0.000000000000000000e+00,7.058581148480863598e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,6.000000000000000000e+01,9.583340180861273927e-01,6.243894621030362524e-01,5.133177815652297665e-02,3.364961437692716162e-01,8.867703452284096954e-01,1.000000000000000000e+00,1.243894621030362524e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,6.100000000000000000e+01,9.583340180861273927e-01,4.223182368895899153e-01,7.218222980743040085e-02,3.321589750232329941e-01,8.896704153115152502e-01,0.000000000000000000e+00,7.768176311041008475e-02,1.000000000000000000e+00,1.000000000000000000e+00
