kind_code,target,readout_flip_probability,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.100000000000000000e+01,9.583340180861273927e-01,7.639115813131361898e-01,1.989961562990590627e-01,2.155357854619686375e-01,9.535443251852921964e-01,1.000000000000000000e+00,2.639115813131361898e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.200000000000000000e+01,9.583340180861273927e-01,7.980923337335235068e-01,2.172466688086545916e-01,2.125851177577045559e-01,9.548075677079428392e-01,1.000000000000000000e+00,2.980923337335235068e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.300000000000000000e+01,9.583340180861273927e-01,7.638738210181889032e-01,2.107370462835209679e-01,2.180111728306522167e-01,9.524711285210034628e-01,1.000000000000000000e+00,2.638738210181889032e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.400000000000000000e+01,9.583340180861273927e-01,7.021013664986275327e-01,1.851836135762413293e-01,2.179431958921413670e-01,9.525007633643196581e-01,1.000000000000000000e+00,2.021013664986275327e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.500000000000000000e+01,9.583340180861273927e-01,7.957117431311053757e-01,1.385207522989822804e-01,2.169986641583909748e-01,9.529115797534739585e-01,1.000000000000000000e+00,2.957117431311053757e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.600000000000000000e+01,9.583340180861273927e-01,7.530284487380952685e-01,2.021990859475198687e-01,2.159519364661872665e-01,9.533647611365038133e-01,1.000000000000000000e+00,2.530284487380952685e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.700000000000000000e+01,9.583340180861273927e-01,7.933594751860675309e-01,1.817774252184133355e-01,2.191817296614410882e-01,9.519593693826189362e-01,1.000000000000000000e+00,2.933594751860675309e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.800000000000000000e+01,9.583340180861273927e-01,7.003221964609955830e-01,2.009830577041565036e-01,2.175439738632265751e-01,9.526746194357957886e-01,1.000000000000000000e+00,2.003221964609955830e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.900000000000000000e+01,9.583340180861273927e-01,7.469227009582282140e-01,1.764396588478489292e-01,2.175489962300604374e-01,9.526724342392931533e-01,1.000000000000000000e+00,2.469227009582282140e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.000000000000000000e+01,9.583340180861273927e-01,7.986297999189531094e-01,1.905826458182473815e-01,2.157058241736366511e-01,9.534709974175721303e-01,1.000000000000000000e+00,2.986297999189531094e-01,0.000000000000000000e+00,0.000000000000000000e+00
