flux,total_charge_right,A_charge_right,B_charge_right
9.285714285714286031e-01,1.263191035150157404e-05,1.250555214937776327e-12,3.712034098531120208e+00
9.357142857142857206e-01,1.312659374264057988e-05,1.634248292248230428e-12,3.740834679622039971e+00
9.428571428571428381e-01,1.322739859688226716e-05,2.131628207280300558e-12,3.769635614075554031e+00
9.499999999999999556e-01,1.293411555991497153e-05,2.600586412881966680e-12,3.798436434318759325e+00
9.571428571428571841e-01,1.224735201788007544e-05,3.424815986363682896e-12,3.827236673019271507e+00
9.642857142857143016e-01,1.116853032101516874e-05,4.391154106997419149e-12,3.856035864070221919e+00
9.714285714285714191e-01,9.699884955693960364e-06,5.641709321935195476e-12,3.884833543572611347e+00
9.785714285714285365e-01,7.844457144301486551e-06,7.219114195322617888e-12,3.913629250811226257e+00
9.857142857142857650e-01,5.606088123499830544e-06,9.194423000735696405e-12,3.942422529224373307e+00
9.928571428571428825e-01,2.989410461395891616e-06,1.170974428532645106e-11,3.971212927363040990e+00
1.000000000000000000e+00,-1.622169065740308724e-10,1.502087343396851793e-11,3.999999999837783093e+00
