flux,total_charge_right,A_charge_right,B_charge_right;T=100.0
2.625000000000000111e-01,-8.751304993012354316e-03,-1.243687603409426856e-04,1.090263431343583278e+00
2.638888888888888951e-01,-9.274675485231753669e-03,-1.090702285075906275e-04,1.095403148944056326e+00
2.652777777777777790e-01,-9.594977465859244603e-03,-8.553185296911181013e-05,1.100747575809101875e+00
2.666666666666666630e-01,-9.684497230689537162e-03,-5.473274361822433320e-05,1.106310901413983139e+00
2.680555555555555469e-01,-9.539630226361950349e-03,-1.837052922226689589e-05,1.112033345664846351e+00
2.694444444444444309e-01,-9.181975360785799012e-03,2.102898331557412348e-05,1.117813233782422699e+00
2.708333333333333703e-01,-8.655386624903727011e-03,6.028953925962809990e-05,1.123553613005887186e+00
2.722222222222222543e-01,-8.019264459417030366e-03,9.604409863328555730e-05,1.129195550305949425e+00
2.736111111111111382e-01,-7.339684214100472559e-03,1.253214372756161765e-04,1.134720007218263049e+00
2.750000000000000222e-01,-6.680793663057293941e-03,1.460161272950344369e-04,1.140120853037919879e+00
2.763888888888889062e-01,-6.098776655620419263e-03,1.570277042786116795e-04,1.145370450593815370e+00
2.777777777777777901e-01,-5.639515452053878164e-03,1.580041382345243051e-04,1.150404644128058429e+00
2.791666666666666741e-01,-5.339353704982841009e-03,1.488316875661865879e-04,1.155142277587888344e+00
2.805555555555555580e-01,-5.226875710420131327e-03,1.291752175553995130e-04,1.159532319293095526e+00
2.819444444444444420e-01,-5.323148683903156098e-03,9.839610109629859380e-05,1.163602507398049823e+00
2.833333333333333259e-01,-5.638753968595366928e-03,5.602430257667379010e-05,1.167479089250965885e+00
2.847222222222222099e-01,-6.167834856101173102e-03,2.688004181017333849e-06,1.171361145913325963e+00
2.861111111111111494e-01,-6.881439879184547692e-03,-5.887093920353692056e-05,1.175457823307257677e+00
2.875000000000000333e-01,-7.723617883543809626e-03,-1.232064593992276968e-04,1.179918416269179815e+00
2.888888888888889173e-01,-8.613353360173547912e-03,-1.824288188974065861e-04,1.184790867872209219e+00
2.902777777777778012e-01,-9.453551575695939846e-03,-2.274455076562986733e-04,1.190029872231121999e+00
2.916666666666666852e-01,-1.014565209032269877e-02,-2.499163421330052870e-04,1.195548812364203073e+00
2.930555555555555691e-01,-1.060621157268659687e-02,-2.443327198973221925e-04,1.201285090172565795e+00
2.944444444444444531e-01,-1.078094555146336120e-02,-2.095280533520593735e-04,1.207240060649905189e+00
2.958333333333333370e-01,-1.065262118107934697e-02,-1.491018674331101579e-04,1.213468036699553387e+00
2.972222222222222210e-01,-1.024141754909102531e-02,-7.062828066928261705e-05,1.220017034030938419e+00
2.986111111111111049e-01,-9.598900611415217554e-03,1.604200000215882937e-05,1.226851984883728264e+00
2.999999999999999889e-01,-8.798491860306789647e-03,1.007754388178128124e-04,1.233803717323957549e+00
3.013888888888888729e-01,-7.925578527157028930e-03,1.747954644528704193e-04,1.240576838982759611e+00
3.027777777777778123e-01,-7.069293110934182778e-03,2.315487506390212502e-04,1.246821607532691445e+00
3.041666666666666963e-01,-6.316221823269962954e-03,2.667625468442125225e-04,1.252243216937121595e+00
3.055555555555555802e-01,-5.744890418180048641e-03,2.780132496233989059e-04,1.256702823041422334e+00
3.069444444444444642e-01,-5.419571958854341176e-03,2.642899429750045215e-04,1.260267585686848157e+00
3.083333333333333481e-01,-5.382884540076737778e-03,2.259398392352451879e-04,1.263190125216975268e+00
3.097222222222222321e-01,-5.648243092306159951e-03,1.650834205371154439e-04,1.265829131967311838e+00
3.111111111111111160e-01,-6.194567997866329279e-03,8.624066189888424105e-05,1.268546942727967419e+00
3.125000000000000000e-01,-6.965914402335293687e-03,-3.306830334004473571e-06,1.271625710667744436e+00
3.138888888888888840e-01,-7.877584228563883073e-03,-9.386515876119716495e-05,1.275230095497717819e+00
3.152777777777777679e-01,-8.828219007830817588e-03,-1.745671119630642920e-04,1.279419612010641139e+00
3.166666666666666519e-01,-9.715243100310466673e-03,-2.352873244637621042e-04,1.284190984346804676e+00
3.180555555555555913e-01,-1.044979477110530297e-02,-2.686859302052369003e-04,1.289520834568559593e+00
3.194444444444444753e-01,-1.096751208264201694e-02,-2.717130508393950095e-04,1.295385074491647970e+00
3.208333333333333592e-01,-1.123313629429212313e-02,-2.460624455284943224e-04,1.301748406203893538e+00
3.222222222222222432e-01,-1.123915294908428564e-02,-1.974330796734591331e-04,1.308535430913977393e+00
3.236111111111111271e-01,-1.100063069124512793e-02,-1.338859591006880123e-04,1.315604773057207133e+00
3.250000000000000111e-01,-1.054923753187164692e-02,-6.389002781492791883e-05,1.322745355858592653e+00
3.263888888888888951e-01,-9.928844377557588530e-03,5.288941349768094824e-06,1.329702100159550149e+00
3.277777777777777790e-01,-9.193531405162325143e-03,6.840360051807437003e-05,1.336223833782795190e+00
3.291666666666666630e-01,-8.407005088127306180e-03,1.221562374951190577e-04,1.342116361480606201e+00
3.305555555555555469e-01,-7.641286702440019951e-03,1.645226574487068660e-04,1.347282393299232162e+00
3.319444444444444309e-01,-6.972589001469131631e-03,1.939554849936797609e-04,1.351736605769259469e+00
3.333333333333333703e-01,-6.473532586492858343e-03,2.089295437146532208e-04,1.355594284654762838e+00
3.347222222222222543e-01,-6.202702114580738169e-03,2.080615855843959139e-04,1.359040777172093151e+00
3.361111111111111382e-01,-6.194159882574545861e-03,1.907174146262846648e-04,1.362293134045873266e+00
3.375000000000000222e-01,-6.450172032485212981e-03,1.577618824999404978e-04,1.365564452527980421e+00
3.388888888888889062e-01,-6.939734098667216244e-03,1.120261280842527185e-04,1.369037389146534167e+00
3.402777777777777901e-01,-7.603740473259179566e-03,5.819093735759395258e-05,1.372848658429006719e+00
3.416666666666666741e-01,-8.365514669211648879e-03,2.049501750533977429e-06,1.377082951283414403e+00
3.430555555555555580e-01,-9.143752262624538218e-03,-5.060958792935110750e-05,1.381773232444557742e+00
3.444444444444444420e-01,-9.864376077198144799e-03,-9.509506044302895589e-05,1.386904497162872119e+00
3.458333333333333259e-01,-1.046854524872209424e-02,-1.284984921774423583e-04,1.392419143343854415e+00
3.472222222222222099e-01,-1.091574101086223436e-02,-1.497779341104177320e-04,1.398223582502129858e+00
3.486111111111111494e-01,-1.118274003839569986e-02,-1.593069086416321056e-04,1.404197075381021342e+00
3.500000000000000333e-01,-1.126059086474562321e-02,-1.581687125806752192e-04,1.410204440265063752e+00
3.513888888888889173e-01,-1.115192363511052775e-02,-1.475448190975114926e-04,1.416113610823575009e+00
3.527777777777778012e-01,-1.087004014297043852e-02,-1.284485611154906337e-04,1.421816777749780769e+00
3.541666666666666852e-01,-1.043973382670504435e-02,-1.018483920640633755e-04,1.427250705454055968e+00
3.555555555555555691e-01,-9.898428015045368511e-03,-6.901576593953961947e-05,1.432409424216821492e+00
3.569444444444444531e-01,-9.295663963421851861e-03,-3.182446528260385321e-05,1.437342801406154003e+00
3.583333333333333370e-01,-8.689495415544534751e-03,7.229320922341742062e-06,1.442138489187994033e+00
3.597222222222222210e-01,-8.139709335374334387e-03,4.535096963564910766e-05,1.446891446509509294e+00
3.611111111111111049e-01,-7.699341234050471883e-03,7.998009907606018487e-05,1.451671659398100722e+00
3.624999999999999889e-01,-7.406936896874327658e-03,1.092679135723528816e-04,1.456503169353986493e+00
3.638888888888889284e-01,-7.281938772333518273e-03,1.322469347950772089e-04,1.461363808487519123e+00
3.652777777777778123e-01,-7.324451727265923751e-03,1.485904365505774649e-04,1.466205974947490276e+00
3.666666666666666963e-01,-7.518975620588008724e-03,1.580730600956314902e-04,1.470988423520498856e+00
